연번,경도,위도,Station 스테이션/성명,업무건물,영업건물,주거건물,대중집합건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,정류장개수,경제인구수,교통량,하천여부,sum,순위,cluster
1,127.3893852,36.37512113,무역전시관입구(택시승강장),0,0,0,0.004213768,0,0,0,0.004392713,0.000703418,0.00430625,0.000602551,0.002660672,0.15919,0.176069372,59,1
2,127.3916887,36.37501699,대전컨벤션센터,0.000938636,0,0,0.004213768,0,0,0,0.006119768,0.001816754,0.0051675,0.001342527,0.002660672,0.15919,0.181449625,56,1
3,127.3877834,36.36793207,한밭수목원1,0,0,0,0.005899275,0,0,0,0.03116,0,0,0,0,0,0.037059275,201,0
4,127.3795206,36.36798435,초원아파트(104동 버스정류장),0.011263636,0.004656534,0.001833359,0.000842754,0,0,0,0.006324094,0.011517348,0.0017225,0.013930036,0.013656518,0,0.06574678,148,4
5,127.3889145,36.36452489,둔산대공원 입구(버스정류장),0,0,0.000532266,0.003371014,0,0,0,0.005206484,0.000540244,0.0017225,0.00191865,0.003852095,0,0.017143254,250,0
6,127.3755067,36.36150724,백합네거리(농협),0.014079545,0.0055375,0.002188203,0.000842754,0,0,0,0.003895147,0.00340516,0.00689,0.015201208,0,0,0.052039517,167,4
7,127.3797876,36.36215763,정부청사 입구(대덕대로),0.012202273,0.004153125,0.000532266,0,0,0,0,0.002552602,0.0076989,0.00689,0.004067222,0.007120236,0,0.045216623,182,0
8,127.3903194,36.36128606,정부청사 입구(샘머리),0.002815909,0.000629261,0.002069922,0,0,0,0.074317895,0.008170682,0.005867225,0.00602875,0.017590271,0,0,0.117489915,84,4
9,127.3735828,36.3616216,(운영중지)황실아파트(성룡초등학교),0.004693182,0.001510227,0.003075313,0,0,0,0,0.000108346,0.005006978,0.00775125,0.020425962,0,0,0.042571257,190,4
10,127.3806992,36.37036001,만년동 KBS 부근(기업은행),0.004693182,0.002391193,0.000768828,0.002528261,0,0,0,0.005084006,0.011517348,0.0017225,0.004746413,0.016381791,0.15919,0.209023523,43,1
11,127.3713527,36.35890251,누리아파트(후문 버스정류장),0.001877273,0.000503409,0.006209766,0,0,0.19505,0,0.00322093,0.004738775,0.00689,0.019397925,0.010498315,0,0.248386394,23,4
12,127.381587,36.35797495,정부청사역 4번출구,0.02065,0.000125852,0,0,0,0.19505,0.063701053,0.005052798,0.021888067,0.00602875,0.00090647,0.009873946,0,0.323276936,10,6
