연번,경도,위도,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,sum,순위
19,127.3886308,36.35158499,현대아이텔(시청역 6번출구),0.15454545454545457,7.291666666666667e-05,0.0,0.05,0.0663157894736842,0.08664348614838052,0.014601899646079428,0.01647493837304848,0.0,0.0,0.3886544848533139,1
59,127.341248,36.35431465,유성온천역 6번출구,0.042499999999999996,0.00011979166666666667,0.0,0.05,0.17052631578947366,0.0628264484674402,0.03455489980049001,0.0266557107641742,0.0008364736177923581,0.0,0.3880196401060371,2
17,127.3785428,36.35233826,타임월드,0.10431818181818182,9.375e-05,0.0,0.0,0.0663157894736842,0.11183623719717298,0.059960472330811525,0.01808545603944125,0.0003079665549118325,0.0,0.3609178534142036,3
133,127.4058257,36.32836534,오룡역 7번출구,0.06568181818181819,0.0017864583333333333,3.9473684210526316e-05,0.05,0.18,0.028360860198798136,0.007838881736251607,0.017173377156943302,0.003175097985066866,0.0,0.3540559672764219,4
3,127.3877834,36.36793207,한밭수목원1,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.35,5
186,127.3877834,36.36793207,한밭수목원2,0.0,0.0,0.0,0.0,0.0,0.29589081220000757,0.0,0.0,0.0,0.0,0.29589081220000757,6
33,127.3618194,36.35819087,월평역 2번출구(육교밑),0.011590909090909091,0.0009270833333333333,0.0,0.05,0.0,0.10932952870478854,0.004165990295528895,0.0176253081347576,0.0018647735961467144,0.1,0.29550359315546415,7
31,127.3574348,36.36179992,대전광역시 유성구청,0.007727272727272727,0.0008020833333333333,0.0,0.0,0.0,0.1536830568048679,0.0017240499340065729,0.015414954806902217,0.0007971796239933699,0.1,0.2801485972303761,8
143,127.4260293,36.32777511,중앙로역 3번출구,0.10818181818181818,0.00024479166666666665,0.0,0.05,0.0,0.05616614384519445,0.05571968108635942,0.007115858668857848,0.0006714481463262177,0.0,0.2780997415952227,9
12,127.381587,36.35797495,정부청사역 4번출구,0.085,0.0,0.0,0.05,0.05684210526315789,0.05675479043047734,0.025480870184612425,0.002818405916187346,0.0009304509777541374,0.0,0.27782662277218917,10
