연번,Station 스테이션/성명,업무건물,주거건물,기타건물,대전지하철역,사고량,타슈이용량,총이용승객,경제인구수,교통량,하천여부,경도,위도
1,무역전시관입구(택시승강장),1,1,1,0,0,7727,113755,228,361160,1,127.3893852,36.37512113
2,대전컨벤션센터,2,1,1,0,0,10660,293801,508,361160,1,127.3916887,36.37501699
3,한밭수목원1,1,1,1,0,0,53185,0,0,0,0,127.3877834,36.36793207
4,초원아파트(104동 버스정류장),13,32,1,0,0,11007,1862557,5271,1853738,0,127.3795206,36.36798435
5,둔산대공원 입구(버스정류장),1,10,1,0,0,9109,87367,726,522884,0,127.3889145,36.36452489
6,백합네거리(농협),16,38,1,0,0,6882,550674,5752,0,0,127.3755067,36.36150724
7,정부청사 입구(대덕대로),14,10,1,0,0,4602,1245047,1539,966502,0,127.3797876,36.36215763
8,정부청사 입구(샘머리),4,36,1,0,7,14143,948833,6656,0,0,127.3903194,36.36128606
9,(운영중지)황실아파트(성룡초등학교),6,53,1,0,0,451,809716,7729,0,0,127.3735828,36.3616216
10,만년동 KBS 부근(기업은행),6,14,1,0,0,8901,1862557,1796,2223667,1,127.3806992,36.37036001
11,누리아파트(후문 버스정류장),3,106,1,1,0,5737,766343,7340,1425043,0,127.3713527,36.35890251
12,정부청사역 4번출구,23,1,1,1,6,8848,3539684,343,1340291,0,127.381587,36.35797495
13,삼천중학교(정문 맞은편),4,46,1,0,0,4980,2596401,8660,896673,0,127.3943619,36.35832669
14,둔산 하이마트,24,14,1,0,6,12552,3280399,2069,1340291,0,127.3789164,36.3554342
15,둔산 홈플러스(법원 버스정류장),17,23,1,0,7,8678,366727,2748,896673,0,127.3895027,36.35605057
16,국화아파트(501동),3,64,1,0,0,6805,644123,9736,0,0,127.3944519,36.35412463
17,타임월드,28,19,1,0,7,17176,8329430,2201,443618,0,127.3785428,36.35233826
18,대전시청,25,1,1,1,0,7694,865531,864,0,0,127.3848364,36.35016577
19,현대아이텔(시청역 6번출구),41,15,1,1,7,13367,2028428,2005,0,0,127.3886308,36.35158499
20,크로바아파트(정문 맞은편),21,44,1,0,0,6188,611296,7628,0,0,127.3920335,36.35126995
21,카이스트 학사식당,23,1,1,0,0,5081,0,8,0,0,127.3588443,36.37339707
22,카이스트 창의학습관,21,1,1,0,0,4661,0,0,0,0,127.3638958,36.36885477
23,카이스트 정문,9,1,1,0,0,4569,107058,0,251644,1,127.3637352,36.36537028
24,화폐박물관,12,3,1,0,0,3989,0,0,443618,0,127.3694198,36.3775389
25,카이스트 후문,17,1,1,0,0,3533,82342,0,0,0,127.3662211,36.37510824
26,엑스포과학공원 주차장,4,1,1,0,0,2847,160132,112,887236,0,127.3784689,36.37819751
27,엑스포과학공원,1,1,1,0,0,3369,0,0,0,0,127.3843117,36.37735659
28,스마트시티(201동),2,2,1,0,0,3570,164104,1929,0,0,127.3917054,36.37761383
29,만년동주민센터,4,210,1,0,0,10843,10162,2190,1415697,1,127.3719715,36.36683291
30,선사유적지공용주차장,1,80,1,0,0,12434,400805,1419,700161,0,127.3610523,36.35149094
